id,lang,word_id,position,tl,example_ru,example_tl,info
357848,en,12,1,village,,,
357849,en,12,2,Everything,,,
357856,en,15,1,"she, it, he, she, it, he, she",,,
357860,en,17,1,but,,,
357862,en,18,1,they,,,
357874,en,24,1,you,,,
357876,en,25,1,you (plural),,,
357877,en,25,2,you (formal),,,
357888,en,30,1,this,,,
357902,en,35,1,"one, 1",,,
357903,en,35,2,alone,,,
357915,en,42,1,"which, what, what kind of",,,
357929,en,49,1,year,,,
357941,en,54,1,or,,,
357943,en,55,1,"my, mine, my people",,,
357962,en,62,1,"big, large, great, important, grown-up",,,
357964,en,63,1,"our, ours, our lot",,,
357984,en,70,1,so that,,,
357985,en,70,2,in order to,,,
357987,en,71,1,well,,,
357997,en,75,1,"two, 2",,,
358003,en,77,1,"there, later, by and by",,,
358005,en,78,1,eye,,,
358007,en,79,1,"first, front, former, earliest",,,
358011,en,81,1,"life, existence",,,
358016,en,84,1,"nothing, nought",,,
358020,en,87,1,"very, very much, greatly",,,
358031,en,92,1,"head, mind, brains, chief, master",,,
358043,en,97,1,friend,,,
358049,en,100,1,"house, home, house-hold",,,
358051,en,101,1,"also, as well, too",,,
358053,en,102,1,"after, afterwards, later",,,
358066,en,106,1,"place, spot, site, locality",,,
358067,en,106,2,"region, area",,,
358068,en,106,3,"site, scene",,,
358069,en,106,4,"room, space",,,
358070,en,106,5,"job, position",,,
358071,en,106,6,piece of luggage,,,
358075,en,107,1,"think, consider, reflect, ponder, believe, intend",,,
358077,en,108,1,"here, with us, in this country, about it, in it, at this point",,,
358079,en,109,1,"ask, inquire, demand",,,
358096,en,115,1,"each, every, everyone",,,
358102,en,118,1,why,,,
358104,en,119,1,because,,,
358118,en,125,1,"sit, be perched, be, fit",,,
358124,en,128,1,"make, do",,,
358126,en,129,1,make,,,
358127,en,129,2,do,,,
358131,en,131,1,"nobody, no one",,,
358133,en,132,1,"work, working, job",,,
358137,en,134,1,"your, yours",,,
358142,en,137,1,"take, hire",,,
358146,en,139,1,"understand, comprehend, realize",,,
358148,en,140,1,door,,,
358154,en,143,1,"end, ending",,,
358160,en,146,1,"begin, start, commence",,,
358162,en,147,1,"voice, part, vote",,,
358182,en,154,1,"it is good, it is pleasant, well, good",,,
358188,en,157,1,water,,,
358190,en,158,1,"second, the latter",,,
358205,en,165,1,"table, desk, board",,,
358206,en,165,2,"diet, cooking, cuisine",,,
358207,en,165,3,"department, section",,,
358211,en,166,1,car,,,
358212,en,166,2,"machine, machinery, engine, mechanism",,,
358218,en,168,1,night,,,
358220,en,169,1,"woman, women, womanfolk, womankind",,,
358238,en,176,1,father,,,
358257,en,185,1,"country, land",,,
358259,en,186,1,"your, yours, thy, thine, your people",,,
358263,en,188,1,"answer, reply, respond",,,
358267,en,190,1,"war, warfare",,,
358273,en,194,1,"mean, signify",,,
358275,en,195,1,white,,,
358283,en,199,1,"comrade, friend, companion, colleague, Comrade, assistant, under-",,,
358295,en,204,1,"look, watch",,,
358299,en,206,1,"never, ever",,,
358309,en,211,1,"road, way, journey",,,
358322,en,217,1,Russia,,,
358324,en,218,1,mother,,,
358326,en,219,1,"decide, determine, resolve, be determined, solve",,,
358333,en,222,1,write,,,
358334,en,222,2,paint,,,
358343,en,226,1,"some, some people",,,
358353,en,230,1,room,,,
358357,en,232,1,Soviet,,,
358366,en,236,1,"book, volume",,,
358368,en,237,1,"shoulder, upper arm, humerus, arm",,,
358370,en,238,1,together,,,
358380,en,243,1,"how much, how many",,,
358382,en,244,1,"people, nation",,,
358391,en,248,1,"what for, why",,,
358409,en,253,1,"God, god",,,
358411,en,254,1,"come, arrive",,,
358413,en,255,1,"go, walk, move, pass",,,
358415,en,256,1,"notice, note, observe, sight, catch sight, pay heed, remark",,,
358430,en,262,1,"name, first name",,,
358431,en,262,2,reputation,,,
358432,en,262,3,noun,,,
358451,en,270,1,"fast, quickly, rapidly, with speed",,,
358465,en,277,1,"similar, resembling, alike",,,
358473,en,280,1,"five, 5",,,
358475,en,281,1,"look, peer, show, face, look out, give, point, look like, see",,,
358479,en,283,1,"way, track, path, race, journey, voyage, passage, duct, means",,,
358481,en,284,1,a thousand,,,
358490,en,288,1,"it, he, she",,,
358494,en,290,1,wall,,,
358496,en,291,1,"remain, stay, be left",,,
358508,en,297,1,write,,,
358509,en,297,2,paint,,,
358513,en,299,1,early,,,
358519,en,302,1,back,,,
358533,en,307,1,"enormous, huge, vast",,,
358535,en,308,1,body,,,
358546,en,313,1,"mom, mama, mommy, mummy",,,
358548,en,314,1,"among, amongst, amidst, in the middle",,,
358550,en,315,1,old man,,,
358561,en,320,1,"also, as well, too, either",,,
358599,en,336,1,"sometimes, at times",,,
358607,en,340,1,"then, after that, thereupon, upon which, subsequently, for that reason",,,
358613,en,343,1,both,,,
358631,en,350,1,"different, diverse, various",,,
358639,en,354,1,from where,,,
358648,en,356,1,"four, 4",,,
358652,en,358,1,"general, General",,,
358665,en,364,1,"especially, particularly, unusually, more than usual",,,
358667,en,365,1,blood,,,
358693,en,376,1,"for example, for instance",,,
358712,en,384,1,"captain, master",,,
358714,en,385,1,here,,,
358734,en,394,1,ear,,,
358736,en,395,1,"leave, depart",,,
358750,en,401,1,"answer, reply, response",,,
358752,en,402,1,"ten, 10",,,
358761,en,406,1,twenty,,,
358778,en,414,1,"newspaper, paper, daily paper, daily",,,
358784,en,417,1,"against, opposite, facing, contrary to, to, as against",,,
358792,en,421,1,family,,,
358794,en,422,1,"army, forces, host",,,
358803,en,426,1,"strong, powerful, fierce, keen, intense, violent, towering, potent, impressive, hard, heavy, good",,,
358816,en,431,1,"husband, man",,,
358860,en,449,1,"breast, chest, bosom, bust, front, shirt-front",,,
358867,en,452,1,"tree, wood",,,
358869,en,453,1,German,,,
358870,en,453,2,German man,,,
358872,en,454,1,"lip, inlet, bay, firth, tree-fungus",,,
358874,en,455,1,snow,,,
358929,en,477,1,"often, frequently",,,
358930,en,477,2,"closely together, thickly",,,
358935,en,479,1,green,,,
358937,en,480,1,"girl, little girl, girlie",,,
358939,en,481,1,"stone, rock",,,
